index,filename,jpg_sha256,json_sha256,width,height,crc_count,dlm_count,spl_count,delete_roi_count,other_label_count,crc_hash_match,annotation_status,NaN,basename_pairing,candidate_dlm,candidate_spl,canvas_edge_coordinates,channels,crc_count_before,crc_count_match,crc_geometry_sha256_after,crc_geometry_sha256_before,crc_valid,decode_status,degenerate_crc,degenerate_polygon,dlm_candidate_geometry_sha256,dlm_count_changed,dlm_delta,dlm_final_geometry_sha256,dlm_geometry_changed,dlm_valid,exif_orientation,final_dlm,final_spl,imagePath,imagePath_pairing,image_filename,inf,invalid_coordinate,invalid_crc,invalid_dlm,invalid_spl,issues,jpg_mtime_ns_after,jpg_mtime_ns_before,jpg_size_bytes_after,jpg_size_bytes_before,json_mtime_ns_after,json_mtime_ns_before,json_parse_status,json_size_bytes_after,json_size_bytes_before,main_frame,mode,original_jpg_sha_match,out_of_bounds,spl_candidate_geometry_sha256,spl_count_changed,spl_delta,spl_final_geometry_sha256,spl_geometry_changed,spl_valid,total_shapes
1,DJI_20250702150745_0300_V.json,c9cd0503b3b30798310482cdfac208e13640189d9c34922d238db3121872c928,1d9952cc4b7b9253bd08cfac51f6ef6589ecbae820f82b44b051c4576c1e3cc8,5280,3956,56,9,22,0,0,PASS,PASS,0,PASS,13,23,0,3,56,PASS,c0a5419a34a4f5c618706aaec579abeef28ab4411ecd0a3dc9cffdc085956e49,c0a5419a34a4f5c618706aaec579abeef28ab4411ecd0a3dc9cffdc085956e49,56,PASS,0,0,2011d2c5406e01732488b5ea63c42b5e9bc0d9f2e50a54bf575053bd9cfc2c4b,True,-4,bd2f99a2f11191f546e945457521222b23612e8e53160b1f454f922b5692bc5b,True,9,1,9,22,DJI_20250702150745_0300_V.JPG,PASS,DJI_20250702150745_0300_V.JPG,0,0,0,0,0,[],1788949929700041852,1788949929700041852,12038144,12038144,1788950023944099034,1788950023944099034,PASS,1220459,1220459,0,RGB,PASS,0,d16cba1649400ecc4463e98833fafc370f6ceb20e9ce4f168701bc1e6a7791f7,True,-1,c721025dfddb3c9f99082fd8c24b911fcdbcb7364e228865106be9bf60620e25,True,22,87
2,DJI_20250702151015_0500_V.json,90040342718953483bb4f17c87103acab594f2bcc14cc9da3f55d4cfd696cff1,e762cebeb3239765a0bcb197ad5ffb07cf29390e94d39d18552f36e88730151d,5280,3956,29,7,40,0,0,PASS,PASS,0,PASS,7,41,0,3,29,PASS,fedf1fbb735a66c4dff19f3f7c4fc11f748622d0234e05f6a1150a2efd7b9022,fedf1fbb735a66c4dff19f3f7c4fc11f748622d0234e05f6a1150a2efd7b9022,29,PASS,0,0,95bbbefd23d61aa04f2d5db42525ebf8d51867d7b7b1f21ff340f2f30335c6c0,False,0,95bbbefd23d61aa04f2d5db42525ebf8d51867d7b7b1f21ff340f2f30335c6c0,False,7,1,7,40,DJI_20250702151015_0500_V.JPG,PASS,DJI_20250702151015_0500_V.JPG,0,0,0,0,0,[],1788949929707041931,1788949929707041931,12410880,12410880,1788950023992099567,1788950023992099567,PASS,1680533,1680533,0,RGB,PASS,0,93f09385ab01f9a85316162804497a3b8a8510df507567b711cd9f92af29ee65,True,-1,50beb3d518d7a7ebea09425c176c0bb548fef9d9e108849f5b132e73e5fb2ace,True,40,76
3,DJI_20250702160538_0800_V.json,d830810878048c7edf4cd6d51aa3d80eaf62dc3a908e7fdaa48c7914c0530a72,f5664eba851dca51a01ceef86c8cfc6430f0c6bd1bb7a5cca6b31dd99eb7d89c,5280,3956,31,7,13,0,0,PASS,PASS,0,PASS,7,14,0,3,31,PASS,714a117cb69b3970a308dde5cc8581fe54f9c547c131caaa9fef424d3270f2e4,714a117cb69b3970a308dde5cc8581fe54f9c547c131caaa9fef424d3270f2e4,31,PASS,0,0,46ea99af8211b3e18db7668169ecb508381580dbf0a9f24de88da20ca86ea0b4,False,0,46ea99af8211b3e18db7668169ecb508381580dbf0a9f24de88da20ca86ea0b4,False,7,1,7,13,DJI_20250702160538_0800_V.JPG,PASS,DJI_20250702160538_0800_V.JPG,0,0,0,0,0,[],1788949929713041999,1788949929713041999,10870784,10870784,1788950024014099812,1788950024014099812,PASS,721087,721087,0,RGB,PASS,0,cc3f17b164e0626e84fbacbc03a8c3fe28a407d2ccfec0aecd94f0daf300548e,True,-1,e4d7095975e02cde1c994338210ddc332f02a894b823a8280dd99d8eb02d3526,True,13,51
4,DJI_20250702160658_0900_V.json,0929ecee61ac6d89992864411f05da04ac7f9d6cb05925453a1972778a464655,9995a2fddde4c2e79069b1fd697f78d331d6f9842c532d306d80195db02830ff,5280,3956,13,7,7,0,0,PASS,PASS,0,PASS,7,7,0,3,13,PASS,8bc5144d019a9488c8a05d648779b8db039ae10742dc3207bad5d19fb8d84cf2,8bc5144d019a9488c8a05d648779b8db039ae10742dc3207bad5d19fb8d84cf2,13,PASS,0,0,f135ed875040cc5074904f7a53ba6c0f703131ad8b225440c4e3ec0838153851,False,0,f135ed875040cc5074904f7a53ba6c0f703131ad8b225440c4e3ec0838153851,False,7,1,7,7,DJI_20250702160658_0900_V.JPG,PASS,DJI_20250702160658_0900_V.JPG,0,0,0,0,0,[],1788949929720042079,1788949929720042079,12615680,12615680,1788950024033695900,1788950024033695900,PASS,551039,551039,0,RGB,PASS,0,16ec367452e3476f2167c5b7c40d708bf3cee0e6ea6a6dba0afca1bf385eaf8d,False,0,16ec367452e3476f2167c5b7c40d708bf3cee0e6ea6a6dba0afca1bf385eaf8d,False,7,27
5,DJI_20250702162237_0020_V.json,f433b06f92ee6eab3f5dfcf0fbef0e2561eaa3f4373090571a9b57f2669dda41,41ab3c8003d82824f3eb399e03a182f7b17edb02855870e5fe6b0516a3c4305f,5280,3956,0,0,2,0,0,PASS,PASS,0,PASS,0,5,0,3,0,PASS,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,0,1,0,2,DJI_20250702162237_0020_V.JPG,PASS,DJI_20250702162237_0020_V.JPG,0,0,0,0,0,[],1788949929726042147,1788949929726042147,10747904,10747904,1788950024039100090,1788950024039100090,PASS,99540,99540,0,RGB,PASS,0,d5659b7c8953ed8b39ee4578e19dc92788f18552eb4328f40aa391f72a356b6c,True,-3,39d1af153ad9901f94c95e52368a18a076b338cb1bf89d1d3c103a2a6a937a66,True,2,2
6,DJI_20250702162257_0040_V.json,306109579205e79e01ce3e13e3fb60007f5090607a39b477d01fc08c8dc563ff,3840354dadaa2f9f48a831f63dde86bd0ac9485b55e4350912c08ba8d5188ed0,5280,3956,5,0,4,0,0,PASS,PASS,0,PASS,0,145,0,3,5,PASS,46d16d9dd95afc516902b0492ebbd586d558f30a1d124ef8709feacf5336ed23,46d16d9dd95afc516902b0492ebbd586d558f30a1d124ef8709feacf5336ed23,5,PASS,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,0,1,0,4,DJI_20250702162257_0040_V.JPG,PASS,DJI_20250702162257_0040_V.JPG,0,0,0,0,0,[],1788949929732042214,1788949929732042214,11653120,11653120,1788950024097214910,1788950024097214910,PASS,1672007,1672007,0,RGB,PASS,0,56dd645fcde6cde346d69926e4d9598db026cc12009c3a84243ead97ba8db265,True,-141,9c85157960aecbd1e164bde1d4b76423522551d92ad82f868ebd2153f73bcba6,True,4,9
7,DJI_20250702164518_0050_V.json,c0d2fb8d4256e76988183542c4cdeb44dc3d583136f14107a42faa1cd7753071,b3c7c4e6312853ffc8be033391127aed9e35fb52f85b91a36476f073559d6b89,5280,3956,13,1,1,0,0,PASS,PASS,0,PASS,9,7,0,3,13,PASS,b7cbda508a18bbc416c104850b6f1240387413331e7ebb937f857540ae6cb1ca,b7cbda508a18bbc416c104850b6f1240387413331e7ebb937f857540ae6cb1ca,13,PASS,0,0,c996adfcc6b8b0315b1ed404860b5902ba79302c766bf0b193ea3a8ae273f0cf,True,-8,216204520d9f0a56a19d6778532da7a8088c44851a33cb001cec9df5d4c203d1,True,1,1,1,1,DJI_20250702164518_0050_V.JPG,PASS,DJI_20250702164518_0050_V.JPG,0,0,0,0,0,[],1788949929739042294,1788949929739042294,11358208,11358208,1788950024110100878,1788950024110100878,PASS,415601,415601,0,RGB,PASS,0,259221f91b2958ac7159c0af3d6db39d7b601206871c409b793586f4adb83e9d,True,-6,f70ab27a31165570239fc054e7ac5bdd210a6727be1a5190c1c898bc75ca7ac2,True,1,15
8,DJI_20250702165251_0480_V.json,72994c4abcfcfdedfb57cca1c285867119746e027644dfe637d0776c94db12d3,70fa04acce6980905b6312298e143545e08a9f8af4e03bc0f5892afb689cd195,5280,3956,16,1,0,0,0,PASS,PASS,0,PASS,1,0,0,3,16,PASS,a9f422e3ba65faa5b1c4111f1ef1078d80e5657d9ecd7deff8f31b445bf87ef4,a9f422e3ba65faa5b1c4111f1ef1078d80e5657d9ecd7deff8f31b445bf87ef4,16,PASS,0,0,a34ec526dceaa37f482321c370bc67e871055fcdf980a45278c95e9bdac3d535,False,0,a34ec526dceaa37f482321c370bc67e871055fcdf980a45278c95e9bdac3d535,False,1,1,1,0,DJI_20250702165251_0480_V.JPG,PASS,DJI_20250702165251_0480_V.JPG,0,0,0,0,0,[],1788949929746042373,1788949929746042373,12288000,12288000,1788950024114100923,1788950024114100923,PASS,44361,44361,0,RGB,PASS,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,0,17
9,DJI_20260826093331_0020_V.json,260b289bae7f3c038bda4d4d321a93750ebeb0e15354199245b8bb5fd71cb1d8,64156f8e84f326956c71737cf0217c042deed7ac086ec960037716e7bfb87ff4,5280,3956,16,3,7,0,0,PASS,PASS,0,PASS,3,3,0,3,16,PASS,25ca80e1bbee3addb93dcd0f308de4622b94c224b18f08ae9049b1819d6e7adc,25ca80e1bbee3addb93dcd0f308de4622b94c224b18f08ae9049b1819d6e7adc,16,PASS,0,0,af61354aed11e85ce1422a85927d3596416d342a02a9045af19992b13967f31d,False,0,af61354aed11e85ce1422a85927d3596416d342a02a9045af19992b13967f31d,False,3,1,3,7,DJI_20260826093331_0020_V.JPG,PASS,DJI_20260826093331_0020_V.JPG,0,0,0,0,0,[],1788949929751042430,1788949929751042430,8687616,8687616,1788950024121101001,1788950024121101001,PASS,189268,189268,0,RGB,PASS,0,f79b7c1e2a671a0598968b52ff522f1f5dee30e9d041518a9609139d54339e78,True,4,072cb80c4eb69ab43427c33d548a7133bbdda4f41f4e14db1447071ff99ab922,True,7,26
10,DJI_20260826094118_0100_V.json,3be9f9f124c6165c36489c5a966a6e90007eab404cb584b12d000a91268cadba,0603e00643b371e6527f8a4c2e7c8ec81f205a98943bb4fd31b310b46a9af2d2,5280,3956,6,7,26,0,0,PASS,PASS,0,PASS,16,26,0,3,6,PASS,4d15ca9179f423baf624d30d177500e2a3faaa8502726f8dbe0a55735e86aec9,4d15ca9179f423baf624d30d177500e2a3faaa8502726f8dbe0a55735e86aec9,6,PASS,0,0,061c55890d908db94ad56eb3ed09d9001cc8a3479c32c7cdaf30ed6997c20c15,True,-9,67a270f52356a00ed04c44573c787449da3cfa97ba2a80b5d117a1e485765f73,True,7,1,7,26,DJI_20260826094118_0100_V.JPG,PASS,DJI_20260826094118_0100_V.JPG,0,0,0,0,0,[],1788949929755042475,1788949929755042475,8122368,8122368,1788950024157101401,1788950024157101401,PASS,1284912,1284912,0,RGB,PASS,0,693726092822886b3cd90fe1ccfa90aff68ac87631da0229d29db017f721cbe2,False,0,693726092822886b3cd90fe1ccfa90aff68ac87631da0229d29db017f721cbe2,False,26,39
